rank - xp - tot
1 - 0 - 0
2 - 20 - 20
3 - 15 - 35
4 - 15 - 50
5 - 15 - 65
6 - 20 - 85
7 - 20 - 105
8 - 20 - 125
9 - 25 - 150
10 - 25 - 175
11 - 25 - 200
12 - 30 - 230
13 - 30 - 260
14 - 30 - 290
15 - 35 - 325
16 - 35 - 360
17 - 35 - 395
18 - 40 - 435
19 - 40 - 475
20 - 45 - 520
21 - 45 - 565
22 - 45 - 610
23 - 50 - 660
24 - 50 - 710
25 - 55 - 765
26 - 55 - 820
27 - 55 - 875
28 - 60 - 935
29 - 60 - 995
30 - 65 - 1060
31 - 65 - 1125
32 - 65 - 1190
33 - 70 - 1260
34 - 70 - 1330
35 - 75 - 1405
36 - 75 - 1480
37 - 80 - 1560
38 - 80 - 1640
39 - 80 - 1720
40 - 85 - 1805
41 - 85 - 1890
42 - 90 - 1980
43 - 90 - 2070
44 - 95 - 2165
45 - 95 - 2260
46 - 95 - 2355
47 - 100 - 2455
48 - 100 - 2555
49 - 105 - 2660
50 - 105 - 2765
51 - 110 - 2875
52 - 110 - 2985
53 - 115 - 3100
54 - 115 - 3215
55 - 115 - 3330
56 - 120 - 3450
57 - 120 - 3570
58 - 125 - 3695
59 - 125 - 3820
60 - 130 - 3950
61 - 130 - 4080
62 - 135 - 4215
63 - 135 - 4350
64 - 140 - 4490
65 - 140 - 4630
66 - 145 - 4775
67 - 145 - 4920
68 - 145 - 5065
69 - 150 - 5215
70 - 150 - 5365
71 - 155 - 5520
72 - 155 - 5675
73 - 160 - 5835
74 - 160 - 5995
75 - 165 - 6160
76 - 165 - 6325
77 - 170 - 6495
78 - 170 - 6665
79 - 175 - 6840
80 - 175 - 7015
81 - 180 - 7195
82 - 180 - 7375
83 - 185 - 7560
84 - 185 - 7745
85 - 190 - 7935
86 - 190 - 8125
87 - 195 - 8320
88 - 195 - 8515
89 - 200 - 8715
90 - 200 - 8915
91 - 205 - 9120
92 - 205 - 9325
93 - 210 - 9535
94 - 210 - 9745
95 - 215 - 9960
96 - 215 - 10175
97 - 220 - 10395
98 - 220 - 10615
99 - 225 - 10840
100 - 225 - 11065
101 - -1 - -1
